stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420034970001",3,5,2,0.01,30,29,1,0.07,72,66,6,0.99,90,76,14,2.88,108,111,3,0.74,48,60,12,1.32,86,90,4,0.79
"420034980001",7,6,1,0.01,46,46,0,0.00,101,97,4,0.78,118,118,0,0.00,127,133,6,1.47,44,41,3,0.26,74,76,2,0.29
"420034980002",0,0,0,0.00,60,60,0,0.00,95,94,1,0.16,155,154,1,0.27,109,132,23,4.34,64,48,16,1.77,94,89,5,0.81
"420034993001",0,0,0,0.00,30,36,6,0.71,18,20,2,0.14,34,25,9,1.21,65,69,4,1.03,51,53,2,0.40,54,49,5,1.07
"420034993002",0,0,0,0.00,34,42,8,0.61,112,116,4,1.01,84,102,18,3.40,84,76,8,1.51,39,32,7,0.61,92,77,15,3.10
"420034994001",0,0,0,0.00,43,40,3,0.37,91,93,2,0.53,68,73,5,0.98,95,91,4,1.10,14,13,1,0.04,35,36,1,0.10
"420034994002",8,9,1,0.02,15,15,0,0.00,114,117,3,0.90,51,63,12,1.61,80,85,5,1.05,17,12,5,0.22,96,80,16,4.03
"420034994003",6,5,1,0.01,87,93,6,0.97,47,48,1,0.09,168,162,6,1.87,93,88,5,0.86,62,72,10,1.15,77,72,5,0.71
"420035003001",0,0,0,0.00,39,39,0,0.00,65,68,3,0.33,136,144,8,1.85,110,98,12,2.25,79,72,7,0.94,158,166,8,2.15
"420035003002",0,0,0,0.00,32,37,5,0.47,28,17,11,0.90,90,89,1,0.26,91,103,12,3.19,49,49,0,0.00,52,47,5,0.76
"420035003003",0,0,0,0.00,33,40,7,0.84,22,23,1,0.08,91,100,9,2.99,56,50,6,1.23,8,8,0,0.00,64,53,11,2.57
"420035003004",19,14,5,0.19,30,29,1,0.06,95,109,14,2.71,98,103,5,1.00,102,96,6,1.25,66,53,13,1.75,81,87,6,0.99
"420035010001",20,21,1,0.03,73,97,24,2.28,103,99,4,0.54,197,188,9,2.31,117,108,9,1.37,115,119,4,0.60,144,137,7,1.31
"420035030021",0,0,0,0.00,16,19,3,0.10,66,65,1,0.14,159,158,1,0.34,78,78,0,0.00,75,78,3,0.47,80,76,4,0.68
"420035030022",17,18,1,0.04,70,72,2,0.32,72,75,3,0.50,111,109,2,0.51,73,73,0,0.00,51,45,6,0.71,40,42,2,0.18
"420035030023",0,0,0,0.00,50,49,1,0.08,41,43,2,0.13,103,107,4,0.66,108,97,11,1.91,155,165,10,2.49,166,162,4,1.07
"420035030024",0,0,0,0.00,16,17,1,0.04,59,56,3,0.45,32,39,7,0.57,121,127,6,1.85,45,40,5,0.57,119,113,6,1.82
"420035030025",15,15,0,0.00,98,116,18,2.19,59,65,6,0.44,151,148,3,0.56,97,88,9,1.08,165,148,17,3.48,220,225,5,1.37
"420035041001",15,15,0,0.00,115,127,12,2.62,80,76,4,0.61,89,85,4,0.68,118,105,13,2.92,22,26,4,0.17,87,92,5,0.83
"420035041002",68,71,3,0.65,15,17,2,0.10,44,48,4,0.56,73,62,11,2.55,25,33,8,0.63,90,84,6,1.71,0,0,0,0.00
"420035041003",32,24,8,0.70,87,89,2,0.48,17,19,2,0.09,51,45,6,0.84,67,65,2,0.37,13,19,6,0.21,98,104,6,1.61
"420035041004",82,89,7,0.90,8,7,1,0.01,94,91,3,0.44,147,147,0,0.00,147,148,1,0.23,68,76,8,0.85,93,81,12,1.75
"420035041005",0,0,0,0.00,66,66,0,0.00,130,130,0,0.00,141,140,1,0.24,93,90,3,0.47,53,63,10,0.90,107,101,6,1.09
"420035070001",25,25,0,0.00,43,37,6,0.67,57,62,5,0.74,80,84,4,0.83,72,66,6,1.12,37,45,8,0.76,73,68,5,0.94
"420035070002",18,20,2,0.06,71,67,4,0.46,91,96,5,0.74,165,167,2,0.53,108,102,6,1.05,53,52,1,0.09,112,114,2,0.36
"420035080001",56,56,0,0.00,83,89,6,1.17,40,35,5,0.47,78,67,11,2.02,108,117,9,2.29,22,14,8,0.41,38,47,9,0.80
"420035080002",8,15,7,0.09,61,57,4,0.41,82,69,13,1.80,141,160,19,4.52,129,119,10,2.18,49,61,12,0.99,123,112,11,2.28
"420035094001",82,83,1,0.13,8,7,1,0.01,108,103,5,0.83,98,103,5,0.76,181,199,18,5.02,62,62,0,0.00,110,92,18,3.05
"420035094002",30,31,1,0.05,40,44,4,0.28,57,57,0,0.00,169,160,9,2.64,88,90,2,0.31,107,106,1,0.19,85,88,3,0.44
"420035094003",0,0,0,0.00,87,78,9,2.37,82,80,2,0.50,68,76,8,1.65,75,76,1,0.23,11,12,1,0.03,7,8,1,0.02
"420035094004",0,0,0,0.00,85,78,7,1.18,74,82,8,1.17,95,96,1,0.19,111,103,8,1.75,50,52,2,0.20,91,95,4,0.72
"420035094005",38,42,4,0.37,0,0,0,0.00,38,35,3,0.28,60,75,15,2.21,127,129,2,0.62,60,49,11,1.62,84,77,7,1.44
"420035100001",36,34,2,0.19,31,32,1,0.08,59,70,11,1.74,127,132,5,1.70,26,23,3,0.21,31,33,2,0.17,64,50,14,2.40
"420035100002",8,8,0,0.00,96,94,2,0.43,81,90,9,1.63,52,40,12,1.39,88,100,12,2.36,26,27,1,0.06,97,89,8,1.73
