stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420031408001",23,23,0,0.00,0,1,1,0.00,34,44,10,0.42,80,71,9,0.89,64,72,8,0.63,312,307,5,1.93,296,291,5,1.83
"420031408002",84,73,11,1.28,26,33,7,0.25,132,132,0,0.00,52,45,7,0.50,41,45,4,0.23,160,158,2,0.44,227,236,9,2.83
"420031408003",67,70,3,0.48,37,42,5,0.44,86,77,9,1.84,33,24,9,0.71,21,24,3,0.15,121,122,1,0.29,55,61,6,0.79
"420031410001",9,12,3,0.06,22,26,4,0.19,25,34,9,0.49,21,30,9,0.41,38,24,14,1.17,130,118,12,3.42,211,212,1,0.46
"420031411001",38,36,2,0.13,16,11,5,0.13,51,50,1,0.08,43,43,0,0.00,139,135,4,0.92,203,208,5,1.69,112,119,7,1.30
"420031413001",14,16,2,0.04,30,33,3,0.13,65,67,2,0.19,70,63,7,0.73,64,65,1,0.10,182,172,10,2.73,242,251,9,3.27
"420031413002",96,100,4,0.48,39,27,12,0.59,121,128,7,1.07,67,62,5,0.42,73,73,0,0.00,225,227,2,0.57,172,176,4,0.87
"420031413003",138,148,10,1.37,60,41,19,1.14,72,119,47,3.37,197,160,37,7.26,137,146,9,1.23,328,309,19,6.21,72,81,9,0.65
"420031414001",0,0,0,0.00,0,3,3,0.00,64,58,6,0.86,20,20,0,0.00,38,45,7,0.60,190,198,8,3.40,135,123,12,3.62
"420031414002",0,1,1,0.00,19,11,8,0.55,0,0,0,0.00,0,0,0,0.00,14,18,4,0.20,112,119,7,2.82,133,129,4,1.91
"420031414003",25,22,3,0.18,48,45,3,0.34,10,13,3,0.07,25,24,1,0.06,34,31,3,0.24,94,106,12,2.66,188,183,5,2.22
"420031414004",238,272,34,8.81,130,124,6,0.85,87,81,6,0.57,13,25,12,0.17,127,104,23,3.18,70,70,0,0.00,254,243,11,3.04
"420031414005",147,133,14,3.39,68,71,3,0.34,39,59,20,1.29,96,72,24,3.80,68,76,8,0.90,89,113,24,3.52,100,83,17,2.80
"420031516001",8,13,5,0.08,9,10,1,0.02,61,56,5,0.57,38,61,23,1.64,146,122,24,6.59,218,217,1,0.41,52,53,1,0.10
"420031516002",56,49,7,1.07,27,28,1,0.07,36,31,5,0.49,47,41,6,0.77,43,55,12,1.41,110,123,13,3.90,48,40,8,1.05
